Mining Project,Location,Postal Code,Longitude,Latitude
Adina - Winsome Resources,Eeyou Istchee Region,G8P 2K6,-74.6402519,49.8426766
Caber Complex - Nuvau Minerals,Matagami ,J0Y 2A0,-77.625829,49.7588514
Hopes Advance - Oceanic Iron Ore Corporation,Aupaluk (Nunavik),J0M 1X0 ,-69.6032893,59.30354349999999
Kwyjibo - SOQUEM,Eeyou Istchee Region,G8P 2K6,-74.6402519,49.8426766
Lac Knife - Focus Graphite,Fermont,G0G 1J0,-67.0841078,52.8013398
Lac Otelnuk - MetalQuest Mining,Naskapi First Nation of Kawawachikamach,GOG 2ZO,-66.76107189999999,54.86343249999999
Lac Scott - Yorbeau Resources,Chibougamau,G8P 1P1,-74.3681096,49.9131772
Matawinie - Nouveau Monde Graphite,Matawinie, J0K 1S0,-73.7340588,46.06548799999999
Perron - Amex Exploration,Normétal,J0Z 3A0,-79.36524299999999,48.998762
Troilus - Troilus Gold Corporation ,Mistissini,G0W 1C0,-73.86988509999999,50.4173471
Ontario ,Ontario,Ontario ,-85.3232139,51.253775
Detour Lake - Agnico Eagle Mines Ltd.,Cochrane District,P0L 1C0,-80.9970001,49.5043264
Hoyle Pond - Discovery Silver Corp.,Timmins,P4N 2C7,-81.10757439999999,48.5502815
"Greenstone - Equinox Gold Corp, Greenstone Gold Mines LP",Geraldton,P0T 1M0,-86.9495175,49.7251421
Kenbridge - Tartisan Nickel Corp.,Fisher lake - Kenora ,P9N 0A9 (Kenora),-94.4893924,49.7670416
Macassa - Agnico Eagle Mines Ltd.,Kirkland Lake ,P2N 3JI,-80.0658468,48.1387426
Magino - Alamos Gold Inc.,Dubreuilville,P0S 1B0,-84.564128,48.3458421
Musselwhite - Orla Mining Ltd. ,Kenora ,P9N 0A9,-94.4097063,49.8055732
Pardo Paleoplacer - Inventus Mining Corp.,Sudbury,P3L 1V4,-80.79804279999999,46.6192147
Penhorwood - Magris Talc Canada Inc.,Timmins,P4N 7J5,-81.3171091,48.4750749
Thierry - XXIX Metal Corp.,Sudbury,P3L 1V4,-80.79804279999999,46.6192147
Distribution Center,Location ,Postal Code,,
Montreal DC,Saint-Laurent ,H4S 2A1 ,-73.7649922,45.48118729999999
Warehouses ,Location ,Postal Code,,
Quebec,Quebec,Quebec,-71.20745959999999,46.8130816
Chibougamau,Chibougamau,G8P 1K4,-74.35775730000002,49.9156053
Trois-Rivière ,Trois-Rivière ,G9A 6K4,-72.5414791,46.3376174
Scept-Iles,Sept-Iles,G4R 4K1,-66.5458005,50.2419307
Ontario ,Ontario,Ontario ,-85.3232139,51.253775
Red Lake ,Red Lake ,P0V 2M0 ,-93.828916,51.0145968
Sudbury ,Sudbury ,P3L 1V4,-80.79804279999999,46.6192147
