,Adina - Winsome Resources,Caber Complex - Nuvau Minerals,Hopes Advance - Oceanic Iron Ore Corporation,Kwyjibo - SOQUEM,Lac Knife - Focus Graphite,Lac Otelnuk - MetalQuest Mining,Lac Scott - Yorbeau Resources,Matawinie - Nouveau Monde Graphite,Perron - Amex Exploration,Troilus - Troilus Gold Corporation ,Ontario ,Detour Lake - Agnico Eagle Mines Ltd.,Hoyle Pond - Discovery Silver Corp.,"Greenstone - Equinox Gold Corp, Greenstone Gold Mines LP",Kenbridge - Tartisan Nickel Corp.,Macassa - Agnico Eagle Mines Ltd.,Magino - Alamos Gold Inc.,Musselwhite - Orla Mining Ltd. ,Pardo Paleoplacer - Inventus Mining Corp.,Penhorwood - Magris Talc Canada Inc.,Thierry - XXIX Metal Corp.,Montreal DC,Quebec,Chibougamau,Trois-Rivière ,Scept-Iles,Ontario ,Red Lake ,Sudbury 
Adina - Winsome Resources,0.0,310.441,,0.0,1243.728,,46.76,689.477,532.898,134.634,,698.403,650.562,1141.092,1877.475,589.725,1071.585,1873.72,844.556,669.547,844.556,725.008,535.719,47.696,593.161,908.283,,1955.813,844.556
Caber Complex - Nuvau Minerals,310.441,0.0,,310.441,1526.883,,329.915,691.91,213.042,417.789,,375.924,421.946,912.475,1648.859,380.119,842.968,1645.104,634.95,440.931,634.95,716.26,818.874,330.851,836.643,1191.438,,1727.197,634.95
Hopes Advance - Oceanic Iron Ore Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwyjibo - SOQUEM,0.0,310.441,,0.0,1243.728,,46.76,689.477,532.898,134.634,,698.403,650.562,1141.092,1877.475,589.725,1071.585,1873.72,844.556,669.547,844.556,725.008,535.719,47.696,593.161,908.283,,1955.813,844.556
Lac Knife - Focus Graphite,1243.252,1526.407,,1243.252,0.0,,1221.0,1206.418,1748.864,1308.874,,1914.369,1866.528,2357.058,3093.441,1805.691,2287.551,3089.686,1904.547,1885.513,1904.547,1241.949,964.357,1221.936,1095.14,775.628,,3171.779,1904.547
Lac Otelnuk - MetalQuest Mining,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Lac Scott - Yorbeau Resources,46.729,329.884,,46.729,1221.476,,0.0,667.225,552.341,87.863,,717.846,670.006,1160.535,1896.918,609.168,1091.028,1893.163,863.999,688.991,863.999,702.756,513.467,0.926,570.91,886.031,,1975.256,863.999
Matawinie - Nouveau Monde Graphite,690.341,691.997,,690.341,1205.707,,668.089,0.0,686.975,755.963,,898.694,793.146,1283.675,2020.058,689.863,1214.168,2016.303,747.707,812.131,747.707,85.091,241.22,669.026,113.7,870.262,,2098.396,747.707
Perron - Amex Exploration,533.034,211.95,,533.034,1749.476,,552.508,687.093,0.0,640.382,,177.083,212.798,600.975,1337.358,176.148,633.82,1333.603,461.22,231.783,461.22,711.443,959.346,553.444,831.826,1414.031,,1415.697,461.22
Troilus - Troilus Gold Corporation ,134.603,417.759,,134.603,1309.35,,87.863,755.099,640.215,0.0,,805.72,757.88,1248.409,1984.792,697.042,1178.902,1981.037,951.873,776.865,951.873,790.63,601.341,87.2,658.784,973.905,,2063.13,951.873
